..\..\TrainImages\RGB\1.png ..\..\TrainImages\SS\1.png
..\..\TrainImages\RGB\2.png ..\..\TrainImages\SS\2.png
..\..\TrainImages\RGB\3.png ..\..\TrainImages\SS\3.png
..\..\TrainImages\RGB\4.png ..\..\TrainImages\SS\4.png
..\..\TrainImages\RGB\5.png ..\..\TrainImages\SS\5.png
..\..\TrainImages\RGB\6.png ..\..\TrainImages\SS\6.png
..\..\TrainImages\RGB\7.png ..\..\TrainImages\SS\7.png
..\..\TrainImages\RGB\8.png ..\..\TrainImages\SS\8.png
..\..\TrainImages\RGB\9.png ..\..\TrainImages\SS\9.png
..\..\TrainImages\RGB\10.png ..\..\TrainImages\SS\10.png
..\..\TrainImages\RGB\11.png ..\..\TrainImages\SS\11.png
..\..\TrainImages\RGB\12.png ..\..\TrainImages\SS\12.png
..\..\TrainImages\RGB\13.png ..\..\TrainImages\SS\13.png
..\..\TrainImages\RGB\14.png ..\..\TrainImages\SS\14.png
..\..\TrainImages\RGB\15.png ..\..\TrainImages\SS\15.png
..\..\TrainImages\RGB\16.png ..\..\TrainImages\SS\16.png
..\..\TrainImages\RGB\17.png ..\..\TrainImages\SS\17.png
..\..\TrainImages\RGB\18.png ..\..\TrainImages\SS\18.png
..\..\TrainImages\RGB\19.png ..\..\TrainImages\SS\19.png
..\..\TrainImages\RGB\20.png ..\..\TrainImages\SS\20.png
..\..\TrainImages\RGB\21.png ..\..\TrainImages\SS\21.png
..\..\TrainImages\RGB\22.png ..\..\TrainImages\SS\22.png
..\..\TrainImages\RGB\23.png ..\..\TrainImages\SS\23.png
..\..\TrainImages\RGB\24.png ..\..\TrainImages\SS\24.png
..\..\TrainImages\RGB\25.png ..\..\TrainImages\SS\25.png
..\..\TrainImages\RGB\26.png ..\..\TrainImages\SS\26.png
..\..\TrainImages\RGB\27.png ..\..\TrainImages\SS\27.png
..\..\TrainImages\RGB\28.png ..\..\TrainImages\SS\28.png
..\..\TrainImages\RGB\29.png ..\..\TrainImages\SS\29.png
..\..\TrainImages\RGB\30.png ..\..\TrainImages\SS\30.png
..\..\TrainImages\RGB\31.png ..\..\TrainImages\SS\31.png
..\..\TrainImages\RGB\32.png ..\..\TrainImages\SS\32.png
..\..\TrainImages\RGB\33.png ..\..\TrainImages\SS\33.png
..\..\TrainImages\RGB\34.png ..\..\TrainImages\SS\34.png
