VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
machine_1	1623140575904	0	0	-0	0.17365	-0	0	0.984807	img_machine_1__0_1623140575901090200.png
machine_1	1623140576213	0	0	-0	0.156437	-0	0	0.987688	img_machine_1__0_1623140576211024200.png
machine_1	1623140576530	-1.40868	0.34286	-0	0.0958517	-0	0	0.995396	img_machine_1__0_1623140576527055200.png
machine_1	1623140576852	-4.62707	0.797516	-0	0.0349073	-0	0	0.999391	img_machine_1__0_1623140576850320300.png
machine_1	1623140577176	-7.81743	0.856155	-0	0.0261686	0	-0	-0.999658	img_machine_1__0_1623140577173628100.png
machine_1	1623140577497	-11.0924	0.516334	-0.0222808	0.0871187	0.0260773	0.00228128	-0.995854	img_machine_1__0_1623140577495153300.png
machine_1	1623140577819	-14.2183	-0.202687	-0.278529	0.147665	0.0431402	0.00644716	-0.988075	img_machine_1__0_1623140577816775000.png
machine_1	1623140578146	-17.2017	-1.28408	-0.556329	0.207709	0.0426661	0.00906875	-0.977218	img_machine_1__0_1623140578143596900.png
machine_1	1623140578458	-19.9085	-2.66099	-0.822174	0.26698	0.0420329	0.0116565	-0.962715	img_machine_1__0_1623140578455683100.png
machine_1	1623140578765	-22.4483	-4.36301	-1.19029	0.324561	0.0741845	0.0255435	-0.942605	img_machine_1__0_1623140578763151800.png
machine_1	1623140579060	-24.6127	-6.24253	-1.64457	0.373449	0.072746	0.029391	-0.924327	img_machine_1__0_1623140579057794500.png
machine_1	1623140579347	-26.6487	-8.0691	-2.07801	0.324562	0.0741845	0.0255436	-0.942605	img_machine_1__0_1623140579345320600.png
machine_1	1623140579625	-28.8487	-9.78789	-2.52018	0.324562	0.0741845	0.0255436	-0.942605	img_machine_1__0_1623140579623125000.png
machine_1	1623140579904	-31.0403	-11.5001	-2.96068	0.324562	0.0741845	0.0255436	-0.942605	img_machine_1__0_1623140579902100400.png
machine_1	1623140580184	-33.2379	-13.1658	-3.43929	0.290491	0.108257	0.0330972	-0.950158	img_machine_1__0_1623140580181957600.png
machine_1	1623140580474	-35.5743	-14.7416	-4.08991	0.290491	0.108257	0.0330972	-0.950158	img_machine_1__0_1623140580471559400.png
machine_1	1623140580752	-37.9082	-16.3159	-4.73986	0.290491	0.108257	0.0330972	-0.950158	img_machine_1__0_1623140580750196400.png
machine_1	1623140581037	-40.2853	-17.8407	-5.44549	0.273279	0.12547	0.0359778	-0.953038	img_machine_1__0_1623140581035221200.png
machine_1	1623140581328	-42.5414	-19.2504	-6.15832	0.273279	0.12547	0.0359778	-0.953038	img_machine_1__0_1623140581326227600.png
machine_1	1623140581599	-44.8146	-20.6708	-6.87655	0.273279	0.12547	0.0359778	-0.953038	img_machine_1__0_1623140581596639600.png
machine_1	1623140581879	-47.1512	-22.131	-7.61484	0.273279	0.12547	0.0359778	-0.953038	img_machine_1__0_1623140581877208600.png
machine_1	1623140582170	-49.3941	-23.5324	-8.32348	0.273279	0.12547	0.0359778	-0.953038	img_machine_1__0_1623140582168338100.png
machine_1	1623140582448	-51.772	-24.9398	-9.057	0.231945	0.110075	0.0264267	-0.966119	img_machine_1__0_1623140582446657500.png
machine_1	1623140582729	-54.1922	-26.1278	-9.60253	0.223915	0.0933889	0.0215605	-0.969884	img_machine_1__0_1623140582726689100.png
machine_1	1623140582997	-56.6241	-27.3139	-10.1285	0.223915	0.0933889	0.0215605	-0.969884	img_machine_1__0_1623140582995083600.png
machine_1	1623140583276	-59.1379	-28.4043	-10.578	0.190343	0.0684745	0.01331	-0.979236	img_machine_1__0_1623140583274740400.png
machine_1	1623140583554	-61.7326	-29.4526	-10.9713	0.190343	0.0684745	0.01331	-0.979236	img_machine_1__0_1623140583552786400.png
machine_1	1623140583841	-64.3576	-30.5132	-11.3692	0.190343	0.0684745	0.01331	-0.979236	img_machine_1__0_1623140583837858400.png
machine_1	1623140584119	-66.8945	-31.5381	-11.7537	0.190343	0.0684745	0.01331	-0.979236	img_machine_1__0_1623140584116207900.png
machine_1	1623140584396	-69.4118	-32.5552	-12.1353	0.190343	0.0684745	0.01331	-0.979236	img_machine_1__0_1623140584393804600.png
machine_1	1623140584665	-71.9401	-33.469	-12.4934	0.139041	0.0431943	0.00607056	-0.989326	img_machine_1__0_1623140584663592600.png
machine_1	1623140584947	-74.6216	-34.1595	-12.6599	0.121829	0.0259811	0.0031901	-0.992206	img_machine_1__0_1623140584945507300.png
machine_1	1623140585219	-77.3037	-34.8282	-12.8048	0.121829	0.0259811	0.0031901	-0.992206	img_machine_1__0_1623140585216757700.png
machine_1	1623140585493	-80.0558	-35.5144	-12.9534	0.121829	0.0259811	0.0031901	-0.992206	img_machine_1__0_1623140585491555700.png
machine_1	1623140585774	-82.7003	-36.1738	-13.0962	0.121829	0.0259811	0.0031901	-0.992206	img_machine_1__0_1623140585772169900.png
machine_1	1623140586053	-85.3609	-36.8371	-13.2399	0.114195	0.0210468	0.0462846	-0.992156	img_machine_1__0_1623140586050799400.png
machine_1	1623140586325	-88.0647	-37.3136	-13.3839	0.0547691	0.0205277	0.105713	-0.992675	img_machine_1__0_1623140586322832400.png
machine_1	1623140586613	-90.9208	-37.4643	-13.5339	0.0042777	-0.027255	-0.164762	0.985947	img_machine_1__0_1623140586610742600.png
machine_1	1623140586897	-93.7078	-37.3104	-13.6802	0.0281033	-0.0333365	-0.223848	0.973648	img_machine_1__0_1623140586895405400.png
machine_1	1623140587193	-96.9146	-37.0862	-13.8486	0.0263201	-0.0347616	-0.274497	0.960599	img_machine_1__0_1623140587180271200.png
machine_1	1623140587464	-99.4359	-36.9099	-13.9811	0.034702	-0.0371558	-0.274184	0.960332	img_machine_1__0_1623140587462294200.png
machine_1	1623140587758	-102.264	-36.5341	-14.1307	0.0681966	-0.0467023	-0.272721	0.958536	img_machine_1__0_1623140587755660700.png
machine_1	1623140588044	-105.139	-36.0788	-14.2832	0.0765592	-0.0490806	-0.272303	0.957904	img_machine_1__0_1623140588041635600.png
machine_1	1623140588325	-107.852	-35.4501	-14.4292	0.134897	-0.0656137	-0.268801	0.951443	img_machine_1__0_1623140588322838800.png
machine_1	1623140588611	-110.527	-34.4805	-14.5784	0.19273	-0.0819015	-0.264296	0.941433	img_machine_1__0_1623140588608880100.png
machine_1	1623140588888	-113.006	-33.2162	-14.7244	0.249843	-0.097884	-0.258805	0.92791	img_machine_1__0_1623140588885523900.png
machine_1	1623140589164	-115.255	-31.703	-14.8665	0.306025	-0.113502	-0.252348	0.910926	img_machine_1__0_1623140589161861400.png
machine_1	1623140589437	-117.323	-29.9075	-15.0101	0.361066	-0.128697	-0.244949	0.890544	img_machine_1__0_1623140589435078500.png
machine_1	1623140589710	-119.15	-27.8841	-15.1531	0.414759	-0.143411	-0.236637	0.866839	img_machine_1__0_1623140589708110300.png
machine_1	1623140589973	-120.665	-25.7168	-15.3114	0.460142	-0.179337	-0.214814	0.842593	img_machine_1__0_1623140589971319600.png
machine_1	1623140590248	-121.994	-23.3608	-15.7417	0.471209	-0.204378	-0.129211	0.848231	img_machine_1__0_1623140590246278700.png
machine_1	1623140590514	-123.323	-20.9624	-16.5484	0.464765	-0.221519	-0.0402035	0.856333	img_machine_1__0_1623140590511869900.png
machine_1	1623140590792	-124.675	-18.8702	-17.4555	0.433573	-0.189328	0.00973159	0.880951	img_machine_1__0_1623140590789198500.png
machine_1	1623140591052	-126.276	-16.9006	-18.362	0.408948	-0.138079	0.0534249	0.900467	img_machine_1__0_1623140591050558600.png
machine_1	1623140591329	-127.915	-15.015	-18.9856	0.413115	-0.0793121	0.0361278	0.906499	img_machine_1__0_1623140591327049500.png
machine_1	1623140591581	-129.556	-13.1276	-19.2933	0.406598	-0.0239174	0.0106318	0.913232	img_machine_1__0_1623140591579388700.png
machine_1	1623140591843	-131.6	-11.0924	-19.3056	0.366488	0.00811638	-0.00321374	0.930382	img_machine_1__0_1623140591840975600.png
machine_1	1623140592138	-133.753	-9.13729	-19.2548	0.333796	0.0082236	-0.00292853	0.942605	img_machine_1__0_1623140592135611100.png
machine_1	1623140592432	-136.126	-7.43863	-19.2038	0.267231	0.00840784	-0.00234776	0.963593	img_machine_1__0_1623140592430221900.png
machine_1	1623140592713	-138.521	-6.19288	-19.1566	0.198943	0.0155036	0.0324432	0.979351	img_machine_1__0_1623140592711681300.png
machine_1	1623140592977	-141.101	-5.27758	-19.1088	0.130144	0.0132028	0.0334458	0.990843	img_machine_1__0_1623140592975470700.png
machine_1	1623140593248	-143.715	-4.74281	-19.0621	0.0689838	0.0135523	0.0689617	0.995139	img_machine_1__0_1623140593246135000.png
machine_1	1623140593546	-146.703	-4.32292	-19.0095	0.0689838	0.0135523	0.0689617	0.995139	img_machine_1__0_1623140593517397500.png
machine_1	1623140593836	-149.694	-3.90246	-18.9567	0.0689838	0.0135523	0.0689617	0.995139	img_machine_1__0_1623140593813506400.png
machine_1	1623140594093	-152.01	-3.57689	-18.9159	0.0689838	0.0135523	0.0689617	0.995139	img_machine_1__0_1623140594090297400.png
machine_1	1623140594351	-154.681	-3.36506	-18.8691	-0.000600673	0.00870878	0.0697402	0.997527	img_machine_1__0_1623140594349673200.png
machine_1	1623140594631	-157.491	-3.53638	-18.8199	0.0702797	0.00108258	-0.139421	-0.987736	img_machine_1__0_1623140594628976700.png
machine_1	1623140594908	-160.283	-4.10654	-18.7701	0.139013	0.0108062	-0.139008	-0.980426	img_machine_1__0_1623140594906416200.png
machine_1	1623140595197	-162.931	-5.04141	-18.721	0.207065	0.0204771	-0.137917	-0.968341	img_machine_1__0_1623140595194699800.png
machine_1	1623140595482	-165.373	-6.28969	-18.6731	0.249106	0.0264737	-0.136894	-0.958387	img_machine_1__0_1623140595480247600.png
machine_1	1623140595753	-167.828	-7.65066	-18.6241	0.249106	0.0264737	-0.136894	-0.958387	img_machine_1__0_1623140595750951900.png
machine_1	1623140596030	-170.294	-9.02435	-18.5748	0.264625	0.0381174	-0.169619	-0.948552	img_machine_1__0_1623140596027988300.png
machine_1	1623140596337	-172.719	-10.6911	-18.5234	0.328731	0.0584813	-0.190774	-0.923104	img_machine_1__0_1623140596315755800.png
machine_1	1623140596616	-174.933	-12.6659	-18.5653	0.350711	0.112762	-0.169645	-0.914061	img_machine_1__0_1623140596614393600.png
machine_1	1623140596914	-177.024	-14.6158	-18.8838	0.34715	0.128586	-0.163216	-0.914501	img_machine_1__0_1623140596912529900.png
machine_1	1623140597193	-179.104	-16.4296	-19.0502	0.312573	0.0551409	-0.19176	-0.928701	img_machine_1__0_1623140597191085200.png
machine_1	1623140597481	-181.438	-18.0852	-18.8211	0.308678	-0.0135676	-0.21266	-0.926989	img_machine_1__0_1623140597476401100.png
machine_1	1623140597774	-183.597	-19.5966	-18.3	0.312929	-0.0380752	-0.219886	-0.923188	img_machine_1__0_1623140597771964800.png
machine_1	1623140598045	-186.003	-21.2812	-17.6757	0.312929	-0.0380752	-0.219886	-0.923188	img_machine_1__0_1623140598043238800.png
machine_1	1623140598331	-188.303	-23.0057	-17.0457	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140598329548800.png
machine_1	1623140598632	-190.595	-24.7965	-16.3204	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140598629853200.png
machine_1	1623140598896	-192.363	-26.1776	-15.7611	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140598894482700.png
machine_1	1623140599160	-194.363	-27.7404	-15.1282	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140599157689700.png
machine_1	1623140599428	-196.429	-29.3547	-14.4744	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140599425874400.png
machine_1	1623140599693	-198.467	-30.9471	-13.8295	0.339626	-0.0485021	-0.225966	-0.911724	img_machine_1__0_1623140599690471500.png
machine_1	1623140599953	-200.525	-32.4116	-13.1995	0.307601	-0.0563586	-0.224134	-0.923022	img_machine_1__0_1623140599950691700.png
machine_1	1623140600228	-202.848	-33.8972	-12.5119	0.267048	-0.0660816	-0.221461	-0.935561	img_machine_1__0_1623140600226008300.png
machine_1	1623140600501	-205.183	-35.0367	-11.8635	0.204988	-0.0903306	-0.16699	-0.960174	img_machine_1__0_1623140600499555700.png
machine_1	1623140600773	-207.873	-35.9408	-11.1554	0.130079	-0.111103	-0.0920816	-0.980947	img_machine_1__0_1623140600770768800.png
machine_1	1623140601061	-210.622	-36.4516	-10.4577	0.0592816	-0.118308	-0.066859	-0.988948	img_machine_1__0_1623140601058746300.png
machine_1	1623140601344	-213.32	-36.5696	-9.78386	0.0162547	0.122	0.0065159	0.992376	img_machine_1__0_1623140601341462300.png
machine_1	1623140601625	-215.988	-36.3125	-9.11504	0.0937549	0.1159	-0.0709824	0.986275	img_machine_1__0_1623140601623104300.png
machine_1	1623140601907	-218.635	-35.6825	-8.43629	0.169653	0.0990721	-0.14688	0.969448	img_machine_1__0_1623140601904220100.png
machine_1	1623140602185	-221.141	-34.6979	-7.76437	0.242467	0.0718464	-0.219694	0.942222	img_machine_1__0_1623140602181971600.png
machine_1	1623140602453	-223.415	-33.4126	-7.11259	0.310785	0.0347518	-0.288009	0.905127	img_machine_1__0_1623140602450301100.png
