POS_X,POS_Y,POS_Z
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.279889,0.741079,-0.0
1.04068,2.2711,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.59642,3.1274,-0.0
1.42599,3.20328,-0.0642355
0.012642,3.83254,-0.540613
-1.40475,4.46361,-1.01496
-2.86177,5.11232,-1.50257
-4.14214,5.68238,-1.93106
-5.54662,6.25383,-2.39474
-6.79139,6.73165,-2.80238
-8.13356,7.24686,-3.24191
-9.47501,7.74284,-3.67924
-10.9193,8.089,-4.13365
-12.1892,8.31293,-4.52787
-13.2905,8.50384,-4.8696
-14.7813,8.62289,-5.32719
-16.0778,8.62291,-5.72357
-17.5323,8.62292,-6.20136
-18.942,8.62294,-6.77089
-20.3943,8.62296,-7.35765
-21.7684,8.62297,-7.91281
-23.1699,8.62299,-8.40741
-24.6477,8.62301,-8.75829
-26.0119,8.62302,-9.07323
-27.3689,8.62304,-9.37565
-28.8995,8.62306,-9.62132
-30.4143,8.62308,-9.86124
-31.8986,8.61385,-10.0963
-33.4459,8.53278,-10.3417
-34.7833,8.4627,-10.5538
-36.3586,8.38016,-10.8037
-37.6765,8.31111,-11.0127
-39.2028,8.21168,-11.255
-40.7308,8.02409,-11.4988
-42.2322,7.83975,-11.7384
-43.7478,7.65368,-11.9707
-45.2619,7.4678,-12.1075
-46.7871,7.28054,-12.242
-48.3024,7.09451,-12.3755
-49.8334,6.90653,-12.5105
-51.4137,6.71252,-12.6498
-52.9166,6.528,-12.7822
-54.3968,6.34627,-12.9127
-55.8594,6.04951,-13.0434
-57.3028,5.66274,-13.1741
-58.7773,5.26766,-13.3076
-60.1849,4.82065,-13.4369
-61.5318,4.2522,-13.5648
-62.9358,3.64568,-13.6986
-64.2336,2.91353,-13.8291
-65.3723,2.04064,-13.9547
-66.3776,1.01803,-14.0802
-67.2635,-0.177219,-14.2105
-68.016,-1.59,-14.3507
-68.5501,-3.13619,-14.4939
-68.8118,-4.61567,-14.6255
-68.8411,-6.2033,-14.7645
-68.6545,-7.6298,-14.8905
-68.2271,-9.12981,-15.0271
-67.6189,-10.4627,-15.1553
-66.8187,-11.7203,-15.2858
-65.8231,-12.884,-15.3485
-64.77,-13.9744,-15.223
-63.7106,-15.0715,-15.0627
-62.6812,-16.1828,-14.9034
-61.737,-17.3864,-14.7426
-60.8369,-18.5385,-14.5858
-59.9272,-19.7028,-14.2872
-59.0383,-20.8405,-13.8278
-58.1716,-21.9963,-13.3583
-57.4323,-23.2393,-12.8883
-56.7245,-24.4652,-12.4283
-56.0052,-25.711,-11.9609
-55.2985,-26.935,-11.5017
-54.607,-28.1327,-11.0523
-53.8978,-29.3612,-10.5914
-53.2047,-30.5617,-10.141
-52.4997,-31.7828,-9.68283
-51.8036,-32.9884,-9.2305
-51.1072,-34.1946,-8.77792
-50.4144,-35.3946,-8.32769
-49.6921,-36.6456,-7.87876
-48.9652,-37.9047,-7.48921
-48.2283,-39.1636,-7.1593
-47.3899,-40.3479,-6.8772
-46.5039,-41.5673,-6.58421
-45.6204,-42.7833,-6.29203
-44.7637,-43.9625,-6.01794
-43.8357,-45.1175,-5.85297
-42.8639,-46.2757,-5.69406
-41.8888,-47.4378,-5.53461
-40.9337,-48.576,-5.37843
-39.9756,-49.7178,-5.22478
-38.9889,-50.8636,-5.20772
-37.9627,-51.9263,-5.25931
-36.9285,-52.9973,-5.31129
-35.9061,-54.056,-5.36268
-34.8701,-55.1288,-5.41476
-33.8456,-56.2345,-5.4674
-32.9743,-57.2728,-5.51473
-32.0351,-58.3921,-5.56575
-31.0827,-59.5272,-5.61748
-30.1169,-60.6782,-5.66995
-29.181,-61.7935,-5.69173
-28.2448,-62.9092,-5.69172
-27.3063,-64.0277,-5.69172
-26.3652,-65.1492,-5.69171
-25.4153,-66.2813,-5.69171
-24.4598,-67.42,-5.6917
-23.4965,-68.568,-5.69169
-22.5448,-69.7023,-5.69169
-21.5947,-70.8345,-5.69168
-20.7045,-72.0334,-5.69168
-19.0579,-74.4746,-5.69167
-18.2408,-75.6861,-5.69166
-17.405,-76.9252,-5.69166
-16.5623,-78.1746,-5.69165
-15.7688,-79.3511,-5.69165
-14.9309,-80.5933,-5.69164
-14.1029,-81.8208,-5.69164
-13.2514,-83.0832,-5.69163
-12.4106,-84.3298,-5.62227
-11.598,-85.5345,-5.54611
-10.7756,-86.7538,-5.46903
-9.96794,-87.9511,-5.39333
-9.14246,-89.1749,-5.29761
-8.30943,-90.41,-5.1147
-7.48727,-91.6288,-4.93417
-6.71596,-92.9003,-4.75151
-5.98248,-94.1707,-4.57138
-5.24396,-95.4498,-4.39002
-4.54317,-96.7274,-4.21104
-3.97204,-98.0497,-4.03417
-3.37724,-99.4509,-3.84725
-2.8106,-100.835,-3.66363
-2.36323,-102.267,-3.47937
-1.9167,-103.727,-3.29183
-1.48134,-105.151,-3.109
-1.03498,-106.611,-2.92154
-0.594354,-108.053,-2.73649
-0.156217,-109.486,-2.55248
0.288412,-110.94,-2.36575
0.717119,-112.342,-2.18571
1.05688,-113.767,-2.00567
1.28128,-115.184,-1.82954
1.52563,-116.727,-1.67495
1.75747,-118.19,-1.54529
1.99194,-119.671,-1.41751
2.21963,-121.108,-1.34123
2.45661,-122.604,-1.26184
2.68705,-124.059,-1.20088
2.91943,-125.526,-1.14901
3.14579,-126.955,-1.09848
3.37155,-128.381,-1.04808
3.60067,-129.827,-0.996933
3.83279,-131.293,-0.945115
4.06245,-132.742,-0.893846
4.29024,-134.181,-0.842994
4.51549,-135.603,-0.792711
4.74192,-137.032,-0.742164
4.97118,-138.48,-0.690986
5.20091,-139.93,-0.639701
5.43146,-141.385,-0.588234
5.65548,-142.8,-0.538225
5.88589,-144.254,-0.48679
6.11145,-145.678,-0.436435
6.34498,-147.153,-0.384304
6.57657,-148.615,-0.332604
6.80423,-150.052,-0.281783
7.03333,-151.498,-0.23064
7.26263,-152.946,-0.179451
7.48983,-154.38,-0.128733
7.82677,-155.789,-0.0781197
8.3538,-157.216,-0.0249766
8.88601,-158.602,0.0268858
9.43849,-159.988,0.0789981
10.5109,-161.906,0.155805
11.258,-163.15,0.206468
12.0206,-164.359,0.256415
12.9055,-165.506,0.306999
13.7592,-166.598,0.355424
14.6292,-167.698,0.404399
15.6333,-168.79,0.4562
16.6335,-169.862,0.507418
17.6288,-170.929,0.558388
18.637,-172.011,0.610016
19.6235,-173.068,0.660534
20.506,-174.015,0.705721
21.4919,-175.072,0.756207
22.4886,-176.096,0.806137
23.5641,-176.965,0.854439
24.7245,-177.839,0.905186
25.8636,-178.693,0.954911
27.08,-179.443,1.00486
28.331,-180.137,1.05481
29.5849,-180.832,1.10488
30.684,-181.441,1.14877
31.8028,-182.04,1.1931
33.1437,-182.62,1.24411
34.1764,-183.058,1.2833
35.5614,-183.646,1.33584
36.7591,-184.154,1.38128
38.0935,-184.753,1.43238
39.3513,-185.469,1.48292
40.6322,-186.208,1.53458
41.8065,-187.014,1.58435
42.8538,-187.972,1.63397
43.7702,-189.084,1.68432
44.5268,-190.321,1.73501
45.2126,-191.611,1.78602
45.7811,-192.92,1.8359
46.1673,-194.315,1.8865
46.3712,-195.836,1.94015
46.3594,-197.275,1.99045
46.176,-198.839,2.04543
45.9768,-200.226,2.0944
45.5935,-201.61,2.14456
44.9693,-203.038,2.19903
44.3456,-204.316,2.24872
43.7097,-205.581,2.29815
42.9225,-206.769,2.34796
41.9851,-207.829,2.39743
