VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
machine_1	1624545895257	0.0	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895254954600.png
machine_1	1624545895372	0.78541	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895372.png
machine_1	1624545895487	1.57081	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895487.png
machine_1	1624545895602	2.35622	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895602.png
machine_1	1624545895717	3.14162	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895717.png
machine_1	1624545895832	3.92703	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895832.png
machine_1	1624545895947	4.71243	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545895947.png
machine_1	1624545896062	5.49784	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896062.png
machine_1	1624545896177	6.28324	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896177.png
machine_1	1624545896300	7.06865	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896298750000.png
machine_1	1624545896410	6.77505	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896410.png
machine_1	1624545896520	6.48145	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896520.png
machine_1	1624545896630	6.18785	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896630.png
machine_1	1624545896740	5.89425	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896740.png
machine_1	1624545896850	5.60066	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896850.png
machine_1	1624545896960	5.30706	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545896960.png
machine_1	1624545897070	5.01346	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897070.png
machine_1	1624545897180	4.71986	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897180.png
machine_1	1624545897295	4.42626	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897292458000.png
machine_1	1624545897406	3.60484	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897406.png
machine_1	1624545897517	2.78341	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897517.png
machine_1	1624545897628	1.96199	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897628.png
machine_1	1624545897739	1.14057	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897739.png
machine_1	1624545897850	0.31914	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897850.png
machine_1	1624545897961	-0.50228	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545897961.png
machine_1	1624545898072	-1.3237	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545898072.png
machine_1	1624545898183	-2.14513	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545898183.png
machine_1	1624545898300	-2.96655	0.0	0.0	1.0	0.0	0.0	0.0	img_machine_1__0_1624545898298268700.png
