Component_ID,Color_ID,R,G,B,H,S,V,Gray
SM_RW_SQM1,SolidBlue,0.0,0.0,255.0,240.0,1.0,1.0,76
SM_RW_SQM1_Var1,SolidBlue2,164.21744999999999,134.14071,255.0,254.931442,0.473958,1.0,174
SM_RW_SQM2,SolidCyan,0.0,255.0,255.0,180.0,1.0,1.0,226
SM_RW_SQM2_Var1,SolidGreen,0.0,255.0,0.0,120.0,1.0,1.0,150
SM_RW_SQM3,SolidGreen2,184.60929,107.881065,64.624905,21.63089,0.649937,0.723958,103
SM_RW_SQM3_Var1,SolidOrange,255.0,60.77619,0.0,14.300293,1.0,1.0,64
SM_RW_SQM4,SolidOrange2,255.0,131.36376,14.804025000000001,29.11615,0.941945,1.0,110
SM_RW_SQM4_Var1,SolidPink,250.92,65.34375,156.974175,330.374298,0.739583,0.984,113
SM_RW_SQMSmall1_Var1,SolidPurple,127.5,0.0,127.5,300.0,1.0,0.5,52
SM_RW_SQMSmall1_Var2,SolidRed,152.73021,0.09358499999999999,0.0,0.036774,1.0,0.598942,17
SM_RW_SQMSmall2_Var1,SolidYellow,255.0,255.0,0.0,60.0,1.0,1.0,179
SM_RW_SQMSmall2_Var2,SolidDarkBlue,7.69998,0.0,58.437585000000006,247.905853,1.0,0.229167,18
None,SolidRed2,34.531335000000006,0.0,0.0,0.0,1.0,0.135417,4
Ground,SolidWhite,255.0,255.0,255.0,0.0,0.0,1.0,255
Other,SolidBlack,0.0,0.0,0.0,0.0,0.0,0.0,0
